order_id,lead_id,customer_phone,item_id,quantity,total_price,status,created_at
PSE-1755251751702,lead-cli-1,994501234567,S001,1,30.00,pending,2025-08-15T09:55:51.702Z
PSE-1755251834203,test-lead,994501234567,S001,2,60.00,pending,2025-08-15T09:57:14.203Z
PSE-1755252191293,test-lead,994501234567,S001,2,60.00,pending,2025-08-15T10:03:11.293Z
PSE-1755252529968,lead-test,994501234567,S001,1,30.00,pending,2025-08-15T10:08:49.968Z
PSE-1755252529971,lead-test-2,994501234567,S001,2,60.00,pending,2025-08-15T10:08:49.971Z
PSE-1755253148480,lead-test,994501234567,S001,1,30.00,pending,2025-08-15T10:19:08.480Z
PSE-1755253148482,lead-test-2,994501234567,S001,2,60.00,pending,2025-08-15T10:19:08.482Z
PSE-1755253238222,lead-test,994501234567,S001,1,30.00,pending,2025-08-15T10:20:38.222Z
PSE-1755253238225,lead-test-2,994501234567,S001,2,60.00,pending,2025-08-15T10:20:38.225Z
PSE-1755253309293,ci-test,994501234567,S001,1,30.00,pending,2025-08-15T10:21:49.293Z
PSE-1755253309329,lead-test,994501234567,S001,1,30.00,pending,2025-08-15T10:21:49.329Z
PSE-1755253309331,lead-test-2,994501234567,S001,2,60.00,pending,2025-08-15T10:21:49.331Z
PSE-1755256209654,ci-test,994501234567,S001,1,30.00,pending,2025-08-15T11:10:09.654Z
PSE-1755256211052,lead-test,994501234567,S001,1,30.00,pending,2025-08-15T11:10:11.052Z
PSE-1755256211053,lead-test-2,994501234567,S001,2,60.00,pending,2025-08-15T11:10:11.053Z
PSE-1755256341409,ci-test,994501234567,S001,1,30.00,pending,2025-08-15T11:12:21.409Z
PSE-1755256341455,lead-test,994501234567,S001,1,30.00,pending,2025-08-15T11:12:21.455Z
PSE-1755256341456,lead-test-2,994501234567,S001,2,60.00,pending,2025-08-15T11:12:21.456Z
PSE-1755256503101,ci-test,994501234567,S001,1,30.00,pending,2025-08-15T11:15:03.101Z
PSE-1755256503169,lead-test,994501234567,S001,1,30.00,pending,2025-08-15T11:15:03.169Z
PSE-1755256503171,lead-test-2,994501234567,S001,2,60.00,pending,2025-08-15T11:15:03.171Z
PSE-1755256642231,ci-test,994501234567,S001,1,30.00,pending,2025-08-15T11:17:22.231Z
PSE-1755256642274,lead-test,994501234567,S001,1,30.00,pending,2025-08-15T11:17:22.274Z
PSE-1755256642275,lead-test-2,994501234567,S001,2,60.00,pending,2025-08-15T11:17:22.275Z
PSE-1755256821893,ci-test,994501234567,S001,1,30.00,pending,2025-08-15T11:20:21.893Z
PSE-1755256821934,lead-test,994501234567,S001,1,30.00,pending,2025-08-15T11:20:21.934Z
PSE-1755256821935,lead-test-2,994501234567,S001,2,60.00,pending,2025-08-15T11:20:21.935Z
PSE-1755257177830,ci-test,994501234567,S001,1,30.00,pending,2025-08-15T11:26:17.830Z
PSE-1755257177865,lead-test,994501234567,S001,1,30.00,pending,2025-08-15T11:26:17.865Z
PSE-1755257177866,lead-test-2,994501234567,S001,2,60.00,pending,2025-08-15T11:26:17.866Z
PSE-1755258138919,ci-test,994501234567,S001,1,30.00,pending,2025-08-15T11:42:18.919Z
PSE-1755258138965,lead-test,994501234567,S001,1,30.00,pending,2025-08-15T11:42:18.965Z
